time,commercial_kw,pv_ac_kw,pv_curtail_kw,chargers_requested_kw,chargers_controlled_kw,bess_charge_kw,bess_discharge_kw,soc_kwh,grid_draw_kw,violation_kw
2025-11-04 12:45:00,105.7234780822773,120.0,0.0,120.0,119.99992229234233,0.0,6.640100531306126e-06,3.399988193359662e-06,105.7233937345191,8.176488461707515e-06
2025-11-04 13:00:00,106.27431341712735,120.0,0.0,120.0,119.99993849297063,0.0,4.247368438217848e-06,1.6142247607505697e-07,106.27424766272952,5.833010421502845e-06
2025-11-04 13:15:00,112.21520621159141,120.0,0.0,120.0,119.99998169992774,1.370946278077914e-06,0.0,-1.91069560596112e-06,112.21518928246542,0.0
2025-11-04 13:30:00,116.04867269778075,120.0,0.0,120.0,119.9999753627801,1.6468627028477186e-07,0.0,-1.1506602526701675e-06,116.04864822524712,4.76322082121079e-07
2025-11-04 13:45:00,118.6483552618023,120.0,0.0,120.0,119.99996765010513,0.0,1.0150386022328696e-06,-9.856223452579558e-07,118.64832189686882,1.5715481778600945e-06
2025-11-04 14:00:00,116.36694756116447,120.0,0.0,120.0,119.9999820683206,6.082061920281351e-07,0.0,-1.481747077515567e-06,116.36693023769126,0.0
2025-11-04 14:15:00,120.92376152917085,119.61354545001375,0.0,120.0,119.99996247800678,0.0,2.3663347809600658e-06,-1.115386978805236e-06,121.3101761908291,2.2389015215297664e-06
2025-11-04 14:30:00,125.56299528497016,119.22709090002749,0.0,120.0,119.99991407907943,0.0,1.0051997913239883e-05,-2.2701192992796944e-06,126.33580841202416,9.336896472241776e-06
2025-11-04 14:45:00,129.79756045065312,118.84063635004122,8.828836489935222e-06,60.0,60.00002464230364,4.6330566539387005e-06,0.0,-7.1714819211319515e-06,70.95696220480866,0.0
2025-11-04 15:00:00,127.17877581586025,118.45418180005497,1.046154272686849e-05,60.0,60.000030329305666,4.284060419183607e-06,0.0,-4.9067322583035375e-06,68.72463909071409,0.0
2025-11-04 15:15:00,129.14141962774804,109.81086932488199,8.883994502902906e-06,60.0,60.000026829968085,2.8203740828341643e-06,0.0,-2.8417367536021194e-06,79.3305888372027,0.0
2025-11-04 15:30:00,126.72914947777505,101.16755684970903,9.378141458991306e-06,60.0,60.00002748801056,2.709429396150263e-06,0.0,-1.5074418696531483e-06,85.56163220364742,0.0
2025-11-04 15:45:00,126.04805223359291,92.52424437453607,6.5730130714116725e-06,60.0,60.00001825289467,1.2507364360365905e-06,0.0,-2.3633178314208232e-07,93.523833935701,0.0
